severity	classification	document	kind	target	resolved	disposition	reason
warning	bundled-reference	docs/pm/06-confirmation-protocol.md:31	code span	docs/PROJECT-MANAGEMENT.md	collaboration-framework/docs/pm/docs/PROJECT-MANAGEMENT.md	transitional-warning	bundled framework document currently uses source-root path; Arc 02 will harmonise source or staging paths
warning	repo-only/provenance	docs/pm/06-confirmation-protocol.md:65	code span	sliceNN-<slug>/artifacts/	collaboration-framework/docs/pm/sliceNN-<slug>/artifacts	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/pm/06-confirmation-protocol.md:71	code span	CLAUDE.md	collaboration-framework/docs/pm/CLAUDE.md	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/pm/06-confirmation-protocol.md:71	code span	AGENTS.md	collaboration-framework/docs/pm/AGENTS.md	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/pm/06-confirmation-protocol.md:74	code span	projectNN-<slug>/	collaboration-framework/docs/pm/projectNN-<slug>	-	repo-only/provenance path requires explicit exception
warning	bundled-reference	docs/pm/06-confirmation-protocol.md:75	code span	docs/PROJECT-MANAGEMENT.md	collaboration-framework/docs/pm/docs/PROJECT-MANAGEMENT.md	transitional-warning	bundled framework document currently uses source-root path; Arc 02 will harmonise source or staging paths
warning	repo-only/provenance	docs/pm/06-confirmation-protocol.md:80	code span	CLAUDE.md	collaboration-framework/docs/pm/CLAUDE.md	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/pm/06-confirmation-protocol.md:80	code span	AGENTS.md	collaboration-framework/docs/pm/AGENTS.md	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/pm/08-maintenance.md:21	code span	workbench/<YYYY.MM.DD>-audit-results-<slug>.md	collaboration-framework/docs/pm/workbench/<YYYY.MM.DD>-audit-results-<slug>.md	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/pm/07-anti-patterns.md:13	code span	sliceNN-<slug>/artifacts/	collaboration-framework/docs/pm/sliceNN-<slug>/artifacts	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/pm/version-history.md:5	code span	sliceNN-<slug>/artifacts/	collaboration-framework/docs/pm/sliceNN-<slug>/artifacts	-	repo-only/provenance path requires explicit exception
warning	bundled-reference	docs/pm/version-history.md:31	code span	docs/PROJECT-MANAGEMENT.md	collaboration-framework/docs/pm/docs/PROJECT-MANAGEMENT.md	transitional-warning	bundled framework document currently uses source-root path; Arc 02 will harmonise source or staging paths
warning	repo-only/provenance	docs/pm/version-history.md:114	code span	CLAUDE.md	collaboration-framework/docs/pm/CLAUDE.md	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/pm/05-closing-arcs.md:9	code span	arcNN-<slug>/closing-report.md	collaboration-framework/docs/pm/arcNN-<slug>/closing-report.md	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/pm/02-canonical-planning-worktree.md:66	code span	sliceNN-<slug>/artifacts/	collaboration-framework/docs/pm/sliceNN-<slug>/artifacts	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/pm/02-canonical-planning-worktree.md:74	code span	projectNN-<slug>/ledger.md	collaboration-framework/docs/pm/projectNN-<slug>/ledger.md	-	repo-only/provenance path requires explicit exception
warning	repo-only/provenance	docs/pm/02-canonical-planning-worktree.md:74	code span	arcNN-<slug>/ledger.md	collaboration-framework/docs/pm/arcNN-<slug>/ledger.md	-	repo-only/provenance path requires explicit exception
