package	severity	classification	document_line	kind	target	resolved	disposition	reason
collaboration-framework	warning	repo-only/provenance	docs/pm/06-confirmation-protocol.md:66	code span	sliceNN-<slug>/artifacts/	collaboration-framework/docs/pm/sliceNN-<slug>/artifacts	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/pm/06-confirmation-protocol.md:72	code span	CLAUDE.md	collaboration-framework/docs/pm/CLAUDE.md	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/pm/06-confirmation-protocol.md:72	code span	AGENTS.md	collaboration-framework/docs/pm/AGENTS.md	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/pm/06-confirmation-protocol.md:75	code span	projectNN-<slug>/	collaboration-framework/docs/pm/projectNN-<slug>	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/pm/06-confirmation-protocol.md:82	code span	CLAUDE.md	collaboration-framework/docs/pm/CLAUDE.md	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/pm/06-confirmation-protocol.md:82	code span	AGENTS.md	collaboration-framework/docs/pm/AGENTS.md	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/pm/08-maintenance.md:21	code span	workbench/<YYYY.MM.DD>-audit-results-<slug>.md	collaboration-framework/docs/pm/workbench/<YYYY.MM.DD>-audit-results-<slug>.md	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/pm/07-anti-patterns.md:13	code span	sliceNN-<slug>/artifacts/	collaboration-framework/docs/pm/sliceNN-<slug>/artifacts	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/pm/version-history.md:5	code span	sliceNN-<slug>/artifacts/	collaboration-framework/docs/pm/sliceNN-<slug>/artifacts	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/pm/version-history.md:115	code span	CLAUDE.md	collaboration-framework/docs/pm/CLAUDE.md	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/pm/05-closing-arcs.md:9	code span	arcNN-<slug>/closing-report.md	collaboration-framework/docs/pm/arcNN-<slug>/closing-report.md	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/pm/02-canonical-planning-worktree.md:66	code span	sliceNN-<slug>/artifacts/	collaboration-framework/docs/pm/sliceNN-<slug>/artifacts	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/pm/02-canonical-planning-worktree.md:74	code span	projectNN-<slug>/ledger.md	collaboration-framework/docs/pm/projectNN-<slug>/ledger.md	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/pm/02-canonical-planning-worktree.md:74	code span	arcNN-<slug>/ledger.md	collaboration-framework/docs/pm/arcNN-<slug>/ledger.md	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/pm/02-canonical-planning-worktree.md:75	code span	sliceNN-<slug>/ledger.md	collaboration-framework/docs/pm/sliceNN-<slug>/ledger.md	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/pm/02-canonical-planning-worktree.md:97	code span	sliceNN-<slug>/	collaboration-framework/docs/pm/sliceNN-<slug>	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/pm/02-canonical-planning-worktree.md:97	code span	projectNN-<slug>/	collaboration-framework/docs/pm/projectNN-<slug>	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/pm/02-canonical-planning-worktree.md:124	code span	sliceNN-<slug>/	collaboration-framework/docs/pm/sliceNN-<slug>	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/CODE-AUDIT.md:4	code span	knowledge/<slug>/	collaboration-framework/docs/knowledge/<slug>	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	source-clone-reference	docs/CODE-AUDIT.md:24	code span	README.md	collaboration-framework/docs/README.md	-	target exists only in source clone
collaboration-framework	warning	repo-only/provenance	docs/CODE-AUDIT.md:25	code span	CLAUDE.md	collaboration-framework/docs/CLAUDE.md	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/CODE-AUDIT.md:52	code span	knowledge/<slug>/	collaboration-framework/docs/knowledge/<slug>	-	repo-only/provenance path requires explicit exception
collaboration-framework	explicit exception	repo-only/provenance	docs/CODE-AUDIT.md:63	code span	knowledge/<slug>/SKILL*.md	collaboration-framework/docs/knowledge/<slug>/SKILL*.md	explicit-exception	placeholder for source-clone skill discovery, not a literal bundled package path
collaboration-framework	warning	repo-only/provenance	docs/CODE-AUDIT.md:66	code span	knowledge/<slug>/guides/	collaboration-framework/docs/knowledge/<slug>/guides	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/CODE-AUDIT.md:220	code span	workbench/<DATE>-audit-index.md	collaboration-framework/docs/workbench/<DATE>-audit-index.md	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/CODE-AUDIT.md:225	code span	knowledge/<slug>/	collaboration-framework/docs/knowledge/<slug>	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/CODE-AUDIT.md:242	code span	workbench/<DATE>-audit-modernization-synthesis.md	collaboration-framework/docs/workbench/<DATE>-audit-modernization-synthesis.md	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	source-clone-reference	docs/CODE-AUDIT.md:347	code span	knowledge/rust/guides/11-anti-patterns.md	collaboration-framework/docs/knowledge/rust/guides/11-anti-patterns.md	-	target exists only in source clone
collaboration-framework	warning	source-clone-reference	docs/AI-ENGINEERING-METHODOLOGY.md:320	inline link	./dev/concept-cards/0009-howto-concept-card-extraction-with-claude-code-v3.2.md	collaboration-framework/docs/dev/concept-cards/0009-howto-concept-card-extraction-with-claude-code-v3.2.md	-	target exists only in source clone
collaboration-framework	warning	source-clone-reference	docs/AI-ENGINEERING-METHODOLOGY.md:320	code span	./dev/concept-cards/0009-howto-concept-card-extraction-with-claude-code-v3.2.md	collaboration-framework/docs/dev/concept-cards/0009-howto-concept-card-extraction-with-claude-code-v3.2.md	-	target exists only in source clone
collaboration-framework	warning	repo-only/provenance	docs/AI-ENGINEERING-METHODOLOGY.md:430	code span	docs/design-vX.Y.Z/arcNN-<slug>/sliceNN-<slug>/	collaboration-framework/docs/docs/design-vX.Y.Z/arcNN-<slug>/sliceNN-<slug>	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/AI-ENGINEERING-METHODOLOGY.md:430	code span	CLAUDE.md	collaboration-framework/docs/CLAUDE.md	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/PROJECT-MANAGEMENT.md:107	code span	sliceNN-<slug>/artifacts/	collaboration-framework/docs/sliceNN-<slug>/artifacts	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/SUBAGENT-DELEGATION-POLICY.md:46	code span	CLAUDE.md	collaboration-framework/docs/CLAUDE.md	-	repo-only/provenance path requires explicit exception
collaboration-framework	warning	repo-only/provenance	docs/SUBAGENT-DELEGATION-POLICY.md:48	code span	CLAUDE.md	collaboration-framework/docs/CLAUDE.md	-	repo-only/provenance path requires explicit exception
